Id;Namn;Latitud;Longitud;Höjd (m);Aktiv
62590;Morup;56.9824;12.3911;15;Nej
181810;Moskojärvi;67.3746;21.0787;395;Nej
159950;Moskosel-Abmohed D;65.8549;19.4654;345;Nej
77170;Mossen;57.2833;17.0042;10;Nej
103610;Mossfallet;60.0166;13.9166;270;Nej
85330;Motala;58.5535;15.0149;97.027;Ja
94090;Mullhyttan;59.15;14.6833;90;Nej
73560;Mullsjö D;57.9246;13.8806;270;Ja
137090;Multrå D;63.1681;17.4192;62.6;Ja
62130;Munka-Ljungby D;56.2225;12.996;28;Ja
93500;Munkfors;59.8482;13.5415;80;Nej
96300;Munktorp D;59.5238;16.2093;27;Nej
144160;Munsvattnet;64.2734;14.451;520;Nej
183980;Muodoslompolo;67.9443;23.4441;240;Nej
170850;Murjek D;66.4771;20.9263;260;Ja
137350;Myckelgensjö;63.5762;17.5861;207.357;Ja
74720;Mykinge;57.9;14.3166;230;Nej
92500;Myre;59.7877;12.4412;115;Ja
160790;Myrheden;65.296;20.2096;250;Nej
122200;Myskelåsen D;62.3335;12.647;770;Ja
125510;Mälgåsen D;62.8514;15.3293;306.507;Ja
75240;Målilla;57.3964;15.8315;100;Nej
75250;Målilla A;57.3845;15.8009;95.667;Ja
113050;Mångsbodarna;61.0804;13.6189;424;Ja
150280;Mårtensboda D;64.4489;20.9446;80;Nej
81060;Måseskär;58.0944;11.3348;14;Nej
81050;Måseskär A;58.0937;11.3312;14.973;Ja
106050;Möklinta;60.0849;16.5477;70;Nej
93710;Mölnbacka;59.6333;13.5666;75;Nej
72390;Mölndal;57.6595;12.0368;61;Nej
76020;Mönsterås D;57.0269;16.5029;3.328;Ja
66320;Mörbylånga;56.5192;16.3918;2;Ja
73410;Mörkö;57.6881;13.7084;345;Nej
133190;Mörsil;63.3183;13.6458;420.343;Ja
126160;Naggen;62.279;15.9986;435;Nej
191900;Naimakka;68.6779;21.5277;403;Nej
191910;Naimakka A;68.6762;21.5229;402.202;Ja
172680;Naisheden;66.5333;22.3666;95;Nej
170930;Nattavaara A;66.7516;20.9238;327.631;Ja
171920;Nattavaara by;66.7586;21.0537;350;Nej
170940;Nattavaara-Vårsjö;66.7791;20.581;410;Nej
169960;Nautijaur;66.9044;19.2446;355;Nej
83420;Naven A;58.6998;13.1109;53;Ja
123570;Nedgården;62.9365;13.2534;780;Nej
116360;Nianfors;61.6021;16.7726;170;Ja
116740;Niannoret;61.6;16.6;170;Nej
71190;Nidingen A;57.3036;11.9049;3.785;Ja
179950;Nikkaluokta;67.8488;19.0233;470;Nej
179960;Nikkaluokta A;67.8527;19.0212;466.765;Ja
181770;Nilivaara;67.226;21.6072;320;Nej
74540;Nobynäs D;57.9106;14.7952;177.639;Ja
72660;Nol;57.9166;12.0666;10;Nej
107060;Nolmyra;60.1;17.1166;38;Nej
114630;Noppikoski;61.5;14.85;340;Nej
95300;Nora D;59.5059;15.0347;97;Nej
128500;Nora-Östanö D;62.8487;18.1861;48.072;Ja
105060;Norberg;60.0651;15.9082;135.379;Ja
139440;Nordanbäck D;63.7413;19.291;185;Ja
156840;Nordanås;65.462;16.0867;403.453;Ja
157020;Nordanås;65.6333;17.7333;480;Nej
134090;Norderön;63.1611;14.3661;320.608;Ja
81540;Nordkoster A;58.892;11.0038;33.362;Ja
139340;Nordmaling;63.5739;19.4875;4;Nej
128510;Nordvik;62.8485;18.0159;20;Nej
92710;Noreborg;59.7666;12.3333;110;Nej
64110;Norjeby;56.1166;14.6666;5;Nej
113260;Nornäs D;61.4306;13.2296;460;Ja
168820;Norra Bergnäs;66.3833;18.2333;440;Nej
66380;Norra Möckleby D;56.6331;16.6673;10.725;Ja
64080;Norra Ströö;56.1045;14.0028;15;Ja
75540;Norra Vi D;57.8828;15.3257;231.232;Ja
102710;Norra Viggen;60.4833;12.7166;420;Nej
